"Date","Price","Open","High","Low","Vol.","Change %"
"31-12-2010","1.5599","1.5424","1.5665","1.5424","","1.16%"
"30-12-2010","1.5420","1.5497","1.5537","1.5366","","-0.50%"
"29-12-2010","1.5498","1.5376","1.5520","1.5350","","0.75%"
"28-12-2010","1.5382","1.5418","1.5512","1.5345","","-0.23%"
"27-12-2010","1.5418","1.5442","1.5458","1.5370","","-0.15%"
"24-12-2010","1.5441","1.5429","1.5478","1.5417","","0.10%"
"23-12-2010","1.5426","1.5383","1.5439","1.5373","","0.27%"
"22-12-2010","1.5384","1.5469","1.5495","1.5356","","-0.52%"
"21-12-2010","1.5464","1.5508","1.5569","1.5436","","-0.30%"
"20-12-2010","1.5510","1.5503","1.5578","1.5476","","-0.15%"
"17-12-2010","1.5534","1.5629","1.5648","1.5454","","-0.64%"
"16-12-2010","1.5634","1.5542","1.5637","1.5540","","0.62%"
"15-12-2010","1.5537","1.5781","1.5785","1.5530","","-1.58%"
"14-12-2010","1.5786","1.5856","1.5912","1.5739","","-0.44%"
"13-12-2010","1.5856","1.5805","1.5898","1.5719","","0.25%"
"10-12-2010","1.5816","1.5768","1.5863","1.5748","","0.30%"
"09-12-2010","1.5768","1.5801","1.5842","1.5711","","-0.23%"
"08-12-2010","1.5804","1.5762","1.5837","1.5667","","0.29%"
"07-12-2010","1.5759","1.5714","1.5823","1.5703","","0.31%"
"06-12-2010","1.5710","1.5765","1.5776","1.5655","","-0.42%"
"03-12-2010","1.5777","1.5602","1.5788","1.5581","","1.11%"
"02-12-2010","1.5604","1.5622","1.5667","1.5511","","-0.15%"
"01-12-2010","1.5627","1.5561","1.5648","1.5547","","0.49%"
"30-11-2010","1.5551","1.5573","1.5597","1.5484","","-0.14%"
"29-11-2010","1.5573","1.5592","1.5648","1.5527","","-0.12%"
"26-11-2010","1.5591","1.5759","1.5772","1.5577","","-1.07%"
"25-11-2010","1.5759","1.5771","1.5795","1.5725","","-0.11%"
"24-11-2010","1.5777","1.5776","1.5837","1.5741","","-0.01%"
"23-11-2010","1.5778","1.5956","1.5966","1.5759","","-1.12%"
"22-11-2010","1.5957","1.5978","1.6086","1.5899","","-0.17%"
"19-11-2010","1.5984","1.6038","1.6095","1.5937","","-0.38%"
"18-11-2010","1.6045","1.5903","1.6056","1.5888","","0.95%"
"17-11-2010","1.5894","1.5883","1.5949","1.5854","","0.04%"
"16-11-2010","1.5887","1.6053","1.6086","1.5840","","-1.08%"
"15-11-2010","1.6060","1.6149","1.6155","1.6041","","-0.45%"
"12-11-2010","1.6133","1.6118","1.6185","1.5987","","0.12%"
"11-11-2010","1.6114","1.6121","1.6179","1.6081","","-0.05%"
"10-11-2010","1.6122","1.5985","1.6138","1.5960","","0.86%"
"09-11-2010","1.5985","1.6135","1.6185","1.5952","","-0.95%"
"08-11-2010","1.6139","1.6194","1.6213","1.6106","","-0.23%"
"05-11-2010","1.6177","1.6268","1.6294","1.6167","","-0.53%"
"04-11-2010","1.6263","1.6104","1.6301","1.6085","","1.04%"
"03-11-2010","1.6096","1.6043","1.6167","1.6006","","0.33%"
"02-11-2010","1.6043","1.6040","1.6082","1.5961","","0.05%"
"01-11-2010","1.6035","1.6043","1.6090","1.6007","","-0.02%"
"29-10-2010","1.6038","1.5936","1.6047","1.5877","","0.61%"
"28-10-2010","1.5941","1.5774","1.5978","1.5762","","1.07%"
"27-10-2010","1.5772","1.5847","1.5866","1.5730","","-0.43%"
"26-10-2010","1.5840","1.5733","1.5897","1.5691","","0.69%"
"25-10-2010","1.5731","1.5667","1.5774","1.5665","","0.31%"
"22-10-2010","1.5683","1.5709","1.5751","1.5655","","-0.15%"
"21-10-2010","1.5706","1.5838","1.5850","1.5686","","-0.88%"
"20-10-2010","1.5845","1.5692","1.5880","1.5654","","0.83%"
"19-10-2010","1.5715","1.5895","1.5942","1.5681","","-1.15%"
"18-10-2010","1.5898","1.5984","1.6005","1.5837","","-0.58%"
"15-10-2010","1.5990","1.6006","1.6106","1.5973","","-0.11%"
"14-10-2010","1.6007","1.5892","1.6067","1.5888","","0.70%"
"13-10-2010","1.5896","1.5803","1.5910","1.5774","","0.58%"
"12-10-2010","1.5805","1.5877","1.5918","1.5758","","-0.46%"
"11-10-2010","1.5878","1.5960","1.5964","1.5868","","-0.53%"
"08-10-2010","1.5963","1.5869","1.5966","1.5823","","0.55%"
"07-10-2010","1.5876","1.5886","1.6019","1.5828","","-0.10%"
"06-10-2010","1.5892","1.5888","1.5940","1.5833","","0.05%"
"05-10-2010","1.5884","1.5825","1.5932","1.5772","","0.40%"
"04-10-2010","1.5821","1.5804","1.5871","1.5749","","0.04%"
"01-10-2010","1.5815","1.5709","1.5873","1.5704","","0.66%"
"30-09-2010","1.5711","1.5790","1.5924","1.5669","","-0.48%"
"29-09-2010","1.5786","1.5800","1.5876","1.5762","","-0.07%"
"28-09-2010","1.5797","1.5808","1.5897","1.5719","","-0.19%"
"27-09-2010","1.5827","1.5822","1.5869","1.5787","","0.05%"
"24-09-2010","1.5819","1.5681","1.5845","1.5641","","0.93%"
"23-09-2010","1.5673","1.5645","1.5743","1.5611","","0.10%"
"22-09-2010","1.5658","1.5610","1.5717","1.5602","","0.32%"
"21-09-2010","1.5608","1.5546","1.5645","1.5503","","0.38%"
"20-09-2010","1.5549","1.5659","1.5687","1.5537","","-0.49%"
"17-09-2010","1.5626","1.5618","1.5730","1.5596","","0.04%"
"16-09-2010","1.5620","1.5626","1.5651","1.5538","","0.01%"
"15-09-2010","1.5619","1.5533","1.5652","1.5448","","0.54%"
"14-09-2010","1.5535","1.5424","1.5588","1.5347","","0.71%"
"13-09-2010","1.5426","1.5354","1.5490","1.5354","","0.51%"
"10-09-2010","1.5348","1.5431","1.5468","1.5345","","-0.51%"
"09-09-2010","1.5427","1.5471","1.5479","1.5375","","-0.28%"
"08-09-2010","1.5471","1.5357","1.5535","1.5343","","0.72%"
"07-09-2010","1.5361","1.5392","1.5426","1.5296","","-0.19%"
"06-09-2010","1.5390","1.5439","1.5491","1.5345","","-0.36%"
"03-09-2010","1.5445","1.5391","1.5471","1.5389","","0.30%"
"02-09-2010","1.5399","1.5446","1.5458","1.5349","","-0.36%"
"01-09-2010","1.5454","1.5351","1.5493","1.5336","","0.68%"
"31-08-2010","1.5349","1.5460","1.5480","1.5327","","-0.74%"
"30-08-2010","1.5463","1.5534","1.5581","1.5456","","-0.37%"
"27-08-2010","1.5520","1.5521","1.5541","1.5443","","-0.06%"
"26-08-2010","1.5530","1.5472","1.5599","1.5466","","0.45%"
"25-08-2010","1.5460","1.5411","1.5472","1.5389","","0.35%"
"24-08-2010","1.5406","1.5492","1.5515","1.5372","","-0.66%"
"23-08-2010","1.5509","1.5543","1.5621","1.5500","","-0.14%"
"20-08-2010","1.5531","1.5592","1.5600","1.5462","","-0.40%"
"19-08-2010","1.5594","1.5598","1.5673","1.5503","","-0.04%"
"18-08-2010","1.5600","1.5573","1.5689","1.5498","","0.08%"
"17-08-2010","1.5587","1.5651","1.5699","1.5551","","-0.48%"
"16-08-2010","1.5662","1.5579","1.5708","1.5536","","0.42%"
"13-08-2010","1.5596","1.5573","1.5683","1.5570","","0.19%"
"12-08-2010","1.5567","1.5640","1.5717","1.5562","","-0.33%"
"11-08-2010","1.5619","1.5849","1.5869","1.5613","","-1.47%"
"10-08-2010","1.5852","1.5900","1.5912","1.5709","","-0.31%"
"09-08-2010","1.5901","1.5987","1.6000","1.5890","","-0.28%"
"06-08-2010","1.5945","1.5885","1.6004","1.5839","","0.33%"
"05-08-2010","1.5892","1.5885","1.5930","1.5820","","0.03%"
"04-08-2010","1.5887","1.5946","1.5969","1.5857","","-0.38%"
"03-08-2010","1.5948","1.5889","1.5970","1.5861","","0.35%"
"02-08-2010","1.5892","1.5724","1.5909","1.5696","","1.34%"
